Day Num,Day,Time,2019,2020,2021,2022
1,Tuesday,1.30.,£14.59,66,-25,-5.25
1,Tuesday,2.10.,£29.19,128.2,29.44,-45.25
1,Tuesday,2.50.,£43.78,138.8,-9.61,-53.55
1,Tuesday,3.30.,£58.38,209.41,90.92,-50.15
1,Tuesday,4.10.,£72.97,174.21,31.92,-121.65
1,Tuesday,4.50.,£87.57,180.21,-28.48,-147.05
1,Tuesday,5.30.,£102.16,121.66,118.29,-140.05
1,Tuesday,Other,£102.16,121.66,118.29,-140.05
2,Wednesday,1.30.,£116.75,77.73,225.17,-136.51
2,Wednesday,2.10.,£131.35,146.73,164.17,-135.51
2,Wednesday,2.50.,£145.94,68.73,116.42,-168.31
2,Wednesday,3.30.,£160.54,35.73,116.11,-169.4
2,Wednesday,4.10.,£175.13,30.73,125.18,-168.9
2,Wednesday,4.50.,£189.72,351.93,126.68,-156.43
2,Wednesday,5.30.,£204.32,268.28,330.04,-174.93
2,Wednesday,Other,£204.32,268.28,309.52,-174.93
3,Thursday,1.30.,£218.91,190.64,356.17,-136.93
3,Thursday,2.10.,£233.51,264.56,607.16,-170.63
3,Thursday,2.50.,£248.10,238.46,572.41,-187.53
3,Thursday,3.30.,£262.70,194.46,614.99,-171.03
3,Thursday,4.10.,£277.29,282.23,721.48,-185.53
3,Thursday,4.50.,£291.88,238.23,830.08,-77.03
3,Thursday,5.30.,£306.48,446.73,949.18,-113.03
3,Thursday,Other,£306.48,344.66,933.18,-113.03
4,Friday,1.30.,£321.07,344.66,871.68,-41.03
4,Friday,2.10.,£335.67,252.06,806.84,-74.93
4,Friday,2.50.,£350.26,371.81,724.34,-50.83
4,Friday,3.30.,£364.86,485.23,666.49,33.15
4,Friday,4.10.,£379.45,425.94,612.89,72.85
4,Friday,4.50.,£394.04,364.04,544.89,268.87
4,Friday,5.30.,£408.64,400.64,557.1,219.87
4,Friday,Other,£408.64,400.64,557.1,219.87